Date,Symbol,Open,High,Low,Close,VWAP,Volume,Turnover
18-05-2000,ITC,610.05,625,595,604.7,607.79,748001,4.54627E+13
19-05-2000,ITC,597.05,622,595.1,619.05,610.92,560732,3.42565E+13
22-05-2000,ITC,615,637.8,611.25,628.45,629.48,716805,4.51215E+13
23-05-2000,ITC,630.55,650,627.25,643.1,639.04,767879,4.90709E+13
24-05-2000,ITC,640,659,602,624.95,640.2,1112766,7.12389E+13
25-05-2000,ITC,614,669,614,654.55,643.16,1935146,1.24461E+14
26-05-2000,ITC,659.9,679,645.15,671.8,663.61,1499290,9.94946E+13
29-05-2000,ITC,670,680,660,670.5,671.19,783797,5.26079E+13
30-05-2000,ITC,673,749,668,739.15,701.25,1576933,1.10583E+14
31-05-2000,ITC,770,789,709,725.6,737.11,2962904,2.18397E+14
01-06-2000,ITC,715.35,733,691.1,695.65,710.74,1190649,8.46238E+13
02-06-2000,ITC,703,719,686.05,696.5,703.02,1238952,8.71003E+13
05-06-2000,ITC,709.9,724,661,665.1,690.69,1418460,9.79723E+13
06-06-2000,ITC,661,679.85,650.1,667.95,666.79,995484,6.63784E+13
07-06-2000,ITC,669,699.85,665,688.25,688.11,883056,6.07639E+13
08-06-2000,ITC,694.95,712.95,690.05,707.6,703.11,921591,6.47982E+13
09-06-2000,ITC,702,721,691,699.5,707.24,857393,6.06379E+13
12-06-2000,ITC,703,703,681.5,688.25,691.72,408080,2.82279E+13
13-06-2000,ITC,683,695,678,689.85,689.13,391755,2.6997E+13
14-06-2000,ITC,696.9,704.5,687,697.8,696.14,600957,4.18353E+13
15-06-2000,ITC,700,727,697,716.9,717.33,897882,6.44076E+13
16-06-2000,ITC,718.8,732.1,715,723.7,724.06,639610,4.63118E+13
19-06-2000,ITC,725,750.85,723.1,737.25,737.32,791002,5.8322E+13
20-06-2000,ITC,746,765.3,740,751.4,752.4,844722,6.35567E+13
21-06-2000,ITC,760,764.6,717,724.95,739.18,609869,4.50804E+13
22-06-2000,ITC,724,744,710,736,726.64,478598,3.47767E+13
23-06-2000,ITC,735,759.9,726,739.4,744.91,1083500,8.07106E+13
26-06-2000,ITC,734,744.8,720,724.95,730.8,545262,3.98476E+13
27-06-2000,ITC,722.1,736,716.2,720.75,726.05,596834,4.33329E+13
28-06-2000,ITC,718,767,717,754.4,740.45,1037937,7.68543E+13
29-06-2000,ITC,769,805,763.55,798.85,788.43,1795349,1.41552E+14
30-06-2000,ITC,790.05,804.7,782,791.8,792.52,1171477,9.28418E+13
03-07-2000,ITC,798,824,765,817.15,794.8,1857029,1.47597E+14
04-07-2000,ITC,820,823.55,805.15,809.65,812.9,728697,5.92361E+13
05-07-2000,ITC,800,813.25,788.1,798.4,798.18,829679,6.6223E+13
06-07-2000,ITC,789.5,814.4,781.1,809.4,799.88,1406399,1.12495E+14
07-07-2000,ITC,815,842.8,810.1,832.95,823.96,1636214,1.34818E+14
10-07-2000,ITC,836.1,847.9,822.55,837.95,837.63,1163274,9.74394E+13
11-07-2000,ITC,832.05,867,827.1,863.25,853.34,2595255,2.21464E+14
12-07-2000,ITC,865,865,835,845.5,848.38,574886,4.87724E+13
13-07-2000,ITC,848,879.9,828.05,833.3,855.11,2478815,2.11966E+14
14-07-2000,ITC,837,849,820,824.85,831.96,1033881,8.60144E+13
17-07-2000,ITC,821.05,821.05,770,781.7,785.78,1075471,8.45086E+13
18-07-2000,ITC,773.45,825.85,773.4,805.95,809.95,1656607,1.34177E+14
19-07-2000,ITC,801.4,816.9,782,784.7,793.95,639985,5.08114E+13
20-07-2000,ITC,782.1,798.85,762,769.45,775.61,943319,7.31651E+13
21-07-2000,ITC,773,784.4,746.55,753.75,756.94,918966,6.95601E+13
24-07-2000,ITC,743.55,757,732,739.15,742.51,913419,6.78221E+13
25-07-2000,ITC,726.55,774.9,726.55,755.7,759.58,1136211,8.63039E+13
26-07-2000,ITC,755,766,726.3,732.15,747.78,623161,4.65987E+13
27-07-2000,ITC,728,740.05,701,736.65,722.19,750874,5.42277E+13
28-07-2000,ITC,744,777.9,736.25,748.05,756.4,1219875,9.22714E+13
31-07-2000,ITC,746.55,763.8,736,741.95,749.69,507607,3.80548E+13
01-08-2000,ITC,746,756.95,733.3,751.7,745.37,492249,3.6691E+13
02-08-2000,ITC,748.85,764,743.05,759.25,757.01,424283,3.21185E+13
03-08-2000,ITC,764.9,772.5,747,749.55,758.11,705558,5.34893E+13
04-08-2000,ITC,751.3,773.4,742.05,761.05,756.38,1100023,8.32039E+13
07-08-2000,ITC,765,787,763,775.15,776.15,982859,7.62844E+13
08-08-2000,ITC,779,785,767.65,778.2,777.29,583787,4.53771E+13
09-08-2000,ITC,778,779.85,760,768.4,771.15,730341,5.63203E+13
10-08-2000,ITC,772,779,765,767.35,771.15,635426,4.90011E+13
11-08-2000,ITC,769,771,751.1,761.25,759.74,460025,3.49497E+13
14-08-2000,ITC,765,822.1,754,801.85,778.8,992483,7.72942E+13
16-08-2000,ITC,827.9,838.95,799.05,818.8,821,1348806,1.10737E+14
17-08-2000,ITC,818.4,826,795,799.85,810.59,667670,5.41205E+13
18-08-2000,ITC,801,810,786.1,793.55,798.17,601945,4.80456E+13
21-08-2000,ITC,790,800.4,775.1,780.9,784.34,436454,3.4233E+13
22-08-2000,ITC,787.5,796,761.25,766.25,778.09,922298,7.1763E+13
23-08-2000,ITC,772.45,785.9,765.2,776.65,777.32,604003,4.69501E+13
24-08-2000,ITC,778.85,785.9,765.3,769.5,775.8,357752,2.77545E+13
25-08-2000,ITC,774,778.9,758.1,760.3,767.12,567961,4.35693E+13
28-08-2000,ITC,758,767,753,763.95,760.28,254484,1.93478E+13
29-08-2000,ITC,761,774.8,761,767,768.7,423612,3.25629E+13
30-08-2000,ITC,770,774.9,756,759.25,765.2,225533,1.72577E+13
31-08-2000,ITC,757.7,779,756,775.95,768.8,472379,3.63164E+13
04-09-2000,ITC,782,789,769.5,771.45,777.9,456823,3.55361E+13
